NO, URL, DOMAIN
 70,"https://www.knox.edu/academics/majors-and-minors/modern-languages","www.knox.edu",
 71,"https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mathematics-modern-languages-bsc","www.ucl.ac.uk",
 72,"https://www.swarthmore.edu/modern-languages-literatures","www.swarthmore.edu",
 73,"https://www.shu.edu/academics/ba-modern-languages.cfm","www.shu.edu",
 74,"https://www.uidaho.edu/class/mlc.aspx","www.uidaho.edu",
 75,"https://www.mla.org/","www.mla.org",
 76,"https://courses.leeds.ac.uk/i502/modern-languages-ba","courses.leeds.ac.uk",
 77,"https://www.stlawu.edu/modern-languages","www.stlawu.edu",
 78,"https://www.buckingham.ac.uk/study-modern-languages/","www.buckingham.ac.uk",
 79,"https://www.rit.edu/liberalarts/department-modern-languages-and-cultures","www.rit.edu",
 80,"https://washburn.edu/academics/college-schools/arts-sciences/departments/modern-foreign-languages/index.html","washburn.edu",
 81,"https://digitalmodernlanguages.wordpress.com/","digitalmodernlanguages.wordpress.com",
 82,"https://www.marist.edu/liberal-arts/modern-languages","www.marist.edu",
 83,"https://www.uco.edu/cla/departments/modern-languages/","www.uco.edu",
 84,"https://www.mastersportal.com/universities/3608/department-of-modern-languages.html","www.mastersportal.com",
 85,"https://www.bmcc.cuny.edu/academics/departments/modern-languages/","www.bmcc.cuny.edu",
 86,"https://www.scu.edu/modernlanguages/","www.scu.edu",
 87,"https://www.oswego.edu/modern-languages/modern-languages-and-literatures-1","www.oswego.edu",
 88,"https://louisville.edu/languages","louisville.edu",
 89,"https://www.sciencedirect.com/book/9780080118406/advances-in-the-teaching-of-modern-languages","www.sciencedirect.com",
 90,"https://www.fordham.edu/info/20829/modern_languages_and_literatures","www.fordham.edu",
 91,"https://www.nottingham.ac.uk/ugstudy/course/Modern-Languages-BA","www.nottingham.ac.uk",
 92,"https://www.une.edu.au/study/courses/diploma-in-modern-languages","www.une.edu.au",
 93,"https://www.creighton.edu/ccas/modernlanguages/","www.creighton.edu",
 94,"https://www.uwinnipeg.ca/modern-languages-and-literatures/","www.uwinnipeg.ca",
 95,"https://www.uleth.ca/artsci/modern-languages","www.uleth.ca",
 96,"https://www.roanoke.edu/inside/a-z_index/modern_languages","www.roanoke.edu",
 97,"https://www.ou.edu/cas/modlang","www.ou.edu",
 98,"https://www.swansea.ac.uk/languages/","www.swansea.ac.uk",
 99,"https://www.undergraduate.study.cam.ac.uk/courses/history-and-modern-languages","www.undergraduate.study.cam.ac.uk",
 100,"https://www.liverpool.ac.uk/modern-languages-and-cultures/","www.liverpool.ac.uk",
 101,"https://www.csusm.edu/modernlanguages/index.html","www.csusm.edu",
 102,"https://www.cnm.edu/programs-of-study/programs-a-z/modern-languages","www.cnm.edu",
 103,"https://www.kenyon.edu/academics/departments-and-majors/modern-languages-literatures/","www.kenyon.edu",
 104,"https://www.lamar.edu/arts-sciences/english-and-modern-languages/index.html","www.lamar.edu",
 105,"https://www.aber.ac.uk/en/modernlangs/","www.aber.ac.uk",
 106,"https://www.wku.edu/modernlanguages/","www.wku.edu",
 107,"https://www.sas.rochester.edu/mlc/","www.sas.rochester.edu",
 108,"https://www.hamline.edu/cla/modern-languages/","www.hamline.edu",
 109,"https://www.mtu.edu/humanities/undergraduate/modern-languages/","www.mtu.edu",
 110,"https://www.pace.edu/dyson/departments/modern-languages-cultures","www.pace.edu",
 111,"https://www.upei.ca/programs/modern-languages","www.upei.ca",
 112,"https://www.merriam-webster.com/dictionary/modern%20languages","www.merriam-webster.com",
 113,"https://manavrachna.edu.in/centre-of-foreign-languages/","manavrachna.edu.in",
 114,"https://www.southern.edu/modernlanguages","www.southern.edu",
 115,"https://www.redlands.edu/study/schools-and-centers/college-of-arts-and-sciences/undergraduate-studies/modern-languages/","www.redlands.edu",
 116,"https://www.myucd.ie/courses/arts-humanities/modern-languages/","www.myucd.ie",
 117,"https://www.macmillanihe.com/page/modern-languages/","www.macmillanihe.com",
 118,"https://www.fhsu.edu/mlng/","www.fhsu.edu",
 119,"https://www.dur.ac.uk/mlac/","www.dur.ac.uk",
 120,"https://www.ndsu.edu/modernlanguages/","www.ndsu.edu",
 121,"https://www.wingate.edu/academics/undergraduate/english-major/modern-languages","www.wingate.edu",
 122,"https://www.liberty.edu/arts-sciences/modern-languages/","www.liberty.edu",
 123,"https://www.reading.ac.uk/ready-to-study/study/subject-area/modern-languages-and-european-studies-ug/ba-modern-languages.aspx","www.reading.ac.uk",
 124,"https://www.douglascollege.ca/programs-courses/explore-programs-courses/faculties/language-literature-and-performing-arts/modern-languages","www.douglascollege.ca",
 125,"http://www2.cortland.edu/modern-languages/","www2.cortland.edu",
 126,"https://www.rwu.edu/undergraduate/academics/programs/modern-languages","www.rwu.edu",
 127,"https://www.aston.ac.uk/courses/modern-languages-and-linguistics","www.aston.ac.uk",
 128,"https://www.ubishops.ca/academic-programs/faculty-of-arts-and-science/humanities/modern-languages/","www.ubishops.ca",
 129,"https://www.modernlanguagesopen.org/articles/10.3828/mlo.v0i0.242/","www.modernlanguagesopen.org",
 130,"https://bellarmine.lmu.edu/modernlanguages/","bellarmine.lmu.edu",
 131,"http://www.sussex.ac.uk/languages/ml","www.sussex.ac.uk",
 132,"https://www.middlebury.edu/language-schools/how-it-works/programs/doctor-modern-languages","www.middlebury.edu",
 133,"https://www.saintmarys.edu/academics/departments/modern-languages","www.saintmarys.edu",
